grade,subject,year,url
EGCSE,Siswati as a Second Language,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2020 Question Paper 1.pdf
EGCSE,Siswati as a Second Language,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2020 Question Paper 2.pdf
EGCSE,Siswati as a Second Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 1.pdf
EGCSE,Siswati as a Second Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 2.pdf
EGCSE,Siswati as a Second Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 3.pdf
EGCSE,Siswati as a Second Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 1.pdf
EGCSE,Siswati as a Second Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 2.pdf
EGCSE,Siswati as a Second Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2023 Question Paper 3.pdf
EGCSE,Siswati as a Second Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 1.pdf
EGCSE,Siswati as a Second Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 2.pdf
EGCSE,Siswati as a Second Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 3.pdf
