grade,subject,year,url
JC,Religious Education,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2020 Question Paper 1.pdf
JC,Religious Education,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2020 Question Paper 2.pdf
JC,Religious Education,2021,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2021 Question Paper 1.pdf
JC,Religious Education,2021,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2021 Question Paper 2.pdf
JC,Religious Education,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2022 Question Paper 1.pdf
JC,Religious Education,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2022 Question Paper 2.pdf
JC,Religious Education,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2023 Question Paper 1.pdf
JC,Religious Education,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2023 Question Paper 2.pdf
JC,Religious Education,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2024 Question Paper 1.pdf
JC,Religious Education,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2024 Question Paper 2.pdf
