grade,subject,year,session,url
JC,SiSwati,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2020 Question Paper 1.pdf
JC,SiSwati,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2020 Question Paper 2.pdf
JC,SiSwati,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2020 Question Paper 3.pdf
JC,SiSwati,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2021 Question Paper 1.pdf
JC,SiSwati,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2021 Question Paper 2.pdf
JC,SiSwati,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2021 Question Paper 3.pdf
JC,SiSwati,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2022 Question Paper 1.pdf
JC,SiSwati,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2022 Question Paper 2.pdf
JC,SiSwati,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2022 Question Paper 3.pdf
JC,SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2023 Question Paper 1.pdf
JC,SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2023 Question Paper 2.pdf
JC,SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2023 Question Paper 3.pdf
JC,SiSwati,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2024 Question Paper 1.pdf
JC,SiSwati,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2024 Question Paper 2.pdf
JC,SiSwati,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2024 Question Paper 3.pdf
